,precision,recall,f1-score,support
0,0.9856967715570086,0.975925551284645,0.9807868252516011,4943.0
1,0.10526315789473684,0.16666666666666666,0.12903225806451613,84.0
accuracy,0.9624030236721702,0.9624030236721702,0.9624030236721702,0.9624030236721702
macro avg,0.5454799647258728,0.5712961089756559,0.5549095416580586,5027.0
weighted avg,0.970984930787637,0.9624030236721702,0.9665542046739772,5027.0
