INCOME_BAND,count,fraud_rate
Low,2698,0.016679021497405487
Lower_Middle,12290,0.014890154597233524
Middle,7178,0.020200612984118137
Upper_Middle,2637,0.016306408797876374
High,331,0.01812688821752266
