HOUSE_TYPE,count,fraud_rate
Co-op apartment,152,0.019736842105263157
House / apartment,22102,0.016469097819201882
Municipal apartment,812,0.023399014778325122
Office apartment,199,0.02512562814070352
Rented apartment,439,0.01366742596810934
With parents,1430,0.017482517482517484
