,correlation_with_target
TARGET,1.0
BEGIN_MONTH,0.06071286909550345
ID,0.02068707451589767
INCOME_PER_PERSON,0.010591963420150983
INCOME,0.007241573206037073
TOTAL_CONTACTS,0.0061167814956151235
WORK_PHONE,0.005868894610230613
PHONE,0.003023081857714143
CHILD_RATIO,0.0008211286980753502
HAS_CAR,0.00027388534890474204
NO_OF_CHILD,-0.0014480405119713304
FAMILY SIZE,-0.006405165218291262
AGE,-0.007957699180597933
HAS_PROPERTY,-0.021743460023021632
YEARS_EMPLOYED,-0.03308731064215923
E_MAIL,
