FAMILY_TYPE,count,fraud_rate
Civil marriage,2133,0.015002344116268168
Married,17509,0.01582043520475184
Separated,1467,0.010224948875255624
Single / not married,3445,0.02409288824383164
Widow,580,0.02586206896551724
